My Future Self n' Me,Cartman,Ohhh. Wait. Stan becomes this douchebag?
My Future Self n' Me,Future Stan,"Yeah, I spent a lot of my teenage years on a slow downward spiral experimenting with drugs and alcohol. [Cartman has a hearty laugh]"
My Future Self n' Me,Stan,"Shut up, Cartman!"
My Future Self n' Me,Cartman,That is so awesome!! Thank you God! [bows deeply] Oh praise God!
My Future Self n' Me,Kyle,"Hey, what happens to me in the future?"
My Future Self n' Me,Future Stan,"Oh, I don't know. You guys stayed away from drugs, so you're okay. I just lost touch with you after I was sent to Juvi Hall in 2006."
My Future Self n' Me,Cartman,"[pats Stan on the back] Juvi Hall! [laughs heartily, then gloats] Stan's a loser! Stan's a loser! [laughs heartily]"
My Future Self n' Me,Stan,[under his breath] God-damnit!
My Future Self n' Me,Scene Description,"South Park Elementary, after school, Garrison's classroom. Stan and Butters are seated next to each other, and there are no other kids around."
My Future Self n' Me,Stan,"Thanks for staying after school and tutoring me, Butters."
My Future Self n' Me,Butters,"Uh well, sure thing, Stan. Eh, how come you care about schoolwork all of a sudden?"
My Future Self n' Me,Stan,"I told you, I can't stand my future self. I have to do whatever I can to not become a loser like him."
My Future Self n' Me,Butters,"Well, studying is the golden key to the imposing door of success."
My Future Self n' Me,Stan,I just can't stand having my future self around all the time! It's driving me crazy! [gets off his seat and starts pacing the floor] Maybe if I get smarter I won't become him and I won't have to share my room!
My Future Self n' Me,Butters,"I know what you mean. I hate having my future self around, too."
My Future Self n' Me,Stan,"Yeah, it's like everything I do, he... [stops and then looks at Butters] Wait a minute, what'd you say?"
My Future Self n' Me,Butters,"I said, I know how you feel. My life has gone completely downhill ever since my future self moved in. I hate him! All he ever wants to do is watch Becker. And that show is so stupid. [Stan is surprised by this account]"
My Future Self n' Me,Stan,"[after a moment] Dude, how long has your future self been around?"
My Future Self n' Me,Butters,Oh. I guess it's been about four months now.
My Future Self n' Me,Stan,Four months?? And you never told anybody that you were living with yourself from the future??
My Future Self n' Me,Butters,Nobody asked.
My Future Self n' Me,Stan,Where is he now?
My Future Self n' Me,Butters,Probably watching Becker.
My Future Self n' Me,Scene Description,"Butters' house, afternoon. A future Butters is watching TV and eating chips at the sofa."
My Future Self n' Me,Becker,My name is T. Becker. The T stand for Terrific. [laughs. Future Butters finds this quite funny. Stan and Butters enter the house to meet future Butters.]
My Future Self n' Me,Butters,"See, here he is. Future Butters. Future self, this is my good friend,-"
