Breast Cancer Show Ever,Pete,It's about freaking time. [Wendy walks up to Cartman and they face off]
Pandemic,Scene Description,"Peruvian Flute Band Internment Camp, that night. The Peruvian flute bands play, and trashcans have been set ablaze to keep them warm. The camera pans to the boys, who sit around a small campfire moping around"
Pandemic,Craig,"""Hey, Craig. You know that money your grandma gave you for your birthday? How would you like to invest in a Peruvian flute band? You can double your money in one afternoon. Come on, Craig, don't be an asshole."" [some alarms go off for a few seconds, then fall silent as Chertoff appears above the crowd with a blond translator to his left]"
Pandemic,Michael Chertoff,Attention Peruvian flute bands
Pandemic,Translator,Atencione bandas de flauta Perú.
Pandemic,Michael Chertoff,We appreciate your cooperation and patience.
Pandemic,Translator,Cooperacion y peciencia es apreciado.
Pandemic,Michael Chertoff,Tomorrow you will be boarding ships...
Pandemic,Translator,Mañana sera el embarque de barcos...
Pandemic,Michael Chertoff,...which will take you to Guantanamo Bay.
Pandemic,Translator,...que la lleva a viajar Guantanimo.
Pandemic,Michael Chertoff,There you will spend the rest of your lives.
Pandemic,Translator,Donde pasar el resto de sus vidas. Gracias! [they turn and head inside. The Peruvian flute bands break up behind the boys and head back to their business]
Pandemic,Kyle,Guantanamo Bay?! We can't go to Guantanamo Bay!
Pandemic,Stan,Don't worry you guys. I'm sure our parents are freaking out right now trying to find us.
Pandemic,Scene Description,The Marsh house. Craig's parents are seated on the sofa. Kyle's parents and Sharon are standing.
Pandemic,Sharon,"Please, Mr. and Mrs. Tucker, our boys were last seen hanging out with your son Craig. Do you have any idea where they could've gone?"
Pandemic,Laura,"No, I'm telling you. This isn't like Craig at all. I'm really worried."
Pandemic,Thomas,You've checked with the police?
Pandemic,Gerald,Nobody know anything. It's li-it's like the boys just vanished!
Pandemic,Sharon,"None of the other kids have seen them since a- [notice Randy taping them] Randy, will you put that thing down?! What is wrong with you?! Our son is missing!"
Pandemic,Randy,"Hey, I'm worried about him too, Sharon."
Pandemic,Sharon,Well then stop being an idiot and help!
Pandemic,Thomas,Maybe the boys all ran away. Were any of your boys upset about anything?
Pandemic,Gerald,All we know is they were seen hanging out with Craig and now they're gone.
Pandemic,Sheila,That's exactly why I told Kyle not to hang around that boy.
Pandemic,Laura,What is that supposed to mean?
Pandemic,Sharon,"To be honest, Mrs. Tucker, we think Craig is bad influence on our boys."
Pandemic,Laura,[quiet for a few seconds] Now wait just a minute!
Pandemic,Sharon,I'm just saying that your son has some problems a-
Pandemic,Thomas,Like every kid doesn't have some problems!
Pandemic,Sheila,Obviously Craig has gotten them into some kind of trouble.
Pandemic,Laura,Oh my God
Pandemic,Thomas,This is ridiculous!
Pandemic,Randy,[filming the argument] Ohhh this is good!
Pandemic,Gerlad,That's not ridicul-
Pandemic,Scene Description,"Peruvian Flute Band Internment Camp, day. Michael Chertoff stands among some soldiers and DHS officials"
Pandemic,Soldier 4,"Sir, good news! Looks like we did it. Every major city is reporting zero Peruvian flute bands. We got 'em all! [other soldiers cry out ""All right! We did it!""]"
Pandemic,Michael Chertoff,"Calm down people, we still have work to do! We have to take out the place these flute bands came from so they never come again!"
Pandemic,Official 1,"We don't know where they came from, sir. We... we've been researching, but we... can't figure it out."
Pandemic,Michael Chertoff,"Well think about it, idiot! Where else would ""Peruvian"" flute bands come from? [everyone else mulls it over]"
Pandemic,Official 1,Hmm...
Pandemic,Michael Chertoff,The country is in the name!
Pandemic,Official 2,"No. Sir, we checked the entire map. There isn't a country called Peruvian anywhere."
Pandemic,Michael Chertoff,"Not Peruvian, retards, Peru! It's right here! [points to the country on a world map]"
Pandemic,Official 3,Peh-roo.
Pandemic,Michael Chertoff,Now I want a plan in place to take out Peru once and for all!
Pandemic,Official 1,"Is that really necessary, sir? It seems a little extreme."
Pandemic,Soldier 2,Yeah.
Pandemic,Michael Chertoff,Peruvian flute bands will never stop annoying us [pounds his right fist onto his left palm] unless they are stopped at the source!
Pandemic,Chief aide,"Sir, you'd better come quick. One of the pan flute bands was caught trying to escape."
Pandemic,Michael Chertoff,[grabs Official 2 by his tie] See? [lets go and leaves] God damn it! [they higher officials walk out behind him]
Pandemic,Scene Description,"The interrogation room, moments later. Chertoff and his chief aide are grilling the boys, who are seated in a row behind a table. Two top officials stand out of the way nearby"
Pandemic,Michael Chertoff,[holds the CD the boys were carrying] The Llama Brothers: Tapas and Moodscapes.
Pandemic,Stan,"This is a mistake, sir, we aren't really a Peruvian flute band."
Pandemic,Michael Chertoff,"Right. You just play pan flute music at the mall and sell CDs of you with a llama, but you're not a Peruvian flute band."
Pandemic,Stan,"We... we- we're just kids, you know? We, we were just trying to make some money."
Pandemic,Kyle,We just wanna go home.
Pandemic,Kenny,"(Sir, please, I'm supposed to get laid for the first time on Saturday.)"
Pandemic,Michael Chertoff,Which tourist location were they playing at?
Pandemic,Chief aide,An outdoor mall in Colorado.
Pandemic,Kyle,"Look, we're from Colorado! We, we grew up in the United States."
Pandemic,Stan,We we speak English!
Pandemic,Cartman,And we're white.
Pandemic,Michael Chertoff,Let me talk to you guys out here. [takes his chief aide and the two other officials into the observation room and closes the door.] Well what do you think?
Pandemic,Chief aide,"I don't know what to make of it sir. It's like nothing I've ever seen before. Clearly they are a Peruvian flute band and yet they... aren't. They play pan flute music like the others, but they talk and act like ...one of us."
Pandemic,Michael Chertoff,I agree. They're obviously some kind of... hybrid.
Pandemic,Official 1,A hybrid? Ah how is that possible?
Pandemic,Chief aide,Perhaps a Peruvian flute band mated with one of our females. Who knows?
Pandemic,Michael Chertoff,"Well however they came to be, they're about the only piece of good luck we've had. [walks to the one-way window]"
Pandemic,Official 1,Sir?
Pandemic,Michael Chertoff,"If they are the hybrid we're talking about, [puts his left arm up high against the window and presses his head against that] then they could be our way of taking out Peru once and for all."
Pandemic,Scene Description,The interrogation room. The boys wait for the officials to return
Pandemic,Craig,"Do you guys know why nobody else at school likes hanging out with you? [the other boys look at each other] Because you're always doing stuff like this. You're always coming up with some stupid idea to do something, and then it backfires, and then you end up in some foreign country, or in outer space or something. That's why no one likes hanging out with you guys."
Pandemic,Cartman,"You're being extremely negative, Craig. [Chertoff and the others return]"
Pandemic,Michael Chertoff,"[approaches the boys] All right, here's the deal: Maybe you are on our side and maybe you aren't, but if you help us... we'll get you home."
Pandemic,Stan,Help you how?
Pandemic,Michael Chertoff,[walks around the table and the boys] You're able to walk amongst the Peruvian flute bands. They see you as one of them. We are going to send you to their Capital.
Pandemic,Craig,"Can we please just go home, sir?"
Pandemic,Michael Chertoff,"[drops the CD onto the table] We still don't know whose side you're on! You do this, and we'll know! You leave for Peru in the morning."
Pandemic,Kyle,"No! No, I'm not going to Peru! Not Peru! [almost falls apart, but Stan grabs him and holds him in place]"
Pandemic,Stan,"Kyle, calm down."
Pandemic,Kyle,"You know I can't go there, Stan!"
Pandemic,Stan,One of our friends was raped in Peru. It was very traumatic. [the officials look at each other]
Pandemic,Michael Chertoff,"You don't have a choice! Either you go to Peru, or you get locked up forever with the other flute bands."
Pandemic,Scene Description,"Peruvian Flute Band Internment Camp, Paruvian flute bands are crowded near the fence staring outside with one solder in front of the fence."
Pandemic,Soldier 3,"Thompson, can you come over here? [the translator from earlier walks up to him] The flute band players won't shut up about something and I can't understand them."
Pandemic,Musician 2,"¡Por favor! ¡No podemos ir! ¡Estamos aquí para proteger a ustedes! [""Please! We cannot go! We're here to protect you!""]"
Pandemic,Musician 3,Sí. [Yes.]
Pandemic,Other Musicians,"Sí. No podemos ir. Si, protectores. [""Yes. We can't go. Yes, protectors.""]"
Pandemic,Thompson,"They're saying something like, ""You can't send us away. We are the protectors."""
Pandemic,Soldier 3,Protectors from what?
Pandemic,Musician 2,"¡La muerte peluda! ¡La muerte peluda! [""The furry death! The furry death!""]"
Pandemic,Soldier 3,What does that mean?
Pandemic,Thompson,"I think he said, ""the furry death""?"
Pandemic,Musician 2,"¡La muerte peluda! ¡La muerte peluda! [""The furry death! The furry death!""]"
Pandemic,Scene Description,CNN Breaking News
Pandemic,Announcer,[gruffly] This is CNN.
Pandemic,Anchorman Tom,"The last of the Peruvian flute bands have successfully been eradicated from every part of the world. Paul Harris is at the shopping promenade and Paul, pretty nice not having any Peruvian flute music there, I suspect."
Pandemic,Paul Harris,"Really welcome silence, Tom. There hasn't been a Peruvian pan flute band in sight for days now, and everyone is really enjoying the peace. The world can breathe a collective sigh of relief now as we thank the- [a low moan is heard and a heavy footfall shakes the ground. The camera looks around for the source of the shaking] What the?! [an explosion has the camera focus on the resulting burst of fire]"
Pandemic,Woman 2,[voice only] Oh my Gohhhd!
Pandemic,Woman 3,[voice only] Ohmigod! [a police car flies through the air from the direction of the blast.]
Pandemic,Paul Harris,Jesus Christ! [the police car lands between him and the water fountain upside down. Harris ducks down]
Pandemic,Shopper,AAAAHHH!! [Harris gets up again and looks at the damage]
Pandemic,Paul Harris,"There's, there's something else here, it's... [the camera switches to the police car again] It's not a Peruvian flute band, it's a... Oh my God what is that thing?! [points to the sky, but the camera doesn't follow it]"
Pandemic,Anchorman Tom,"Paul Paul, what do you see?"
Pandemic,Paul Harris,"It's furry! It's very furry! [the transmission flickers, then fades out]"
Pandemic,Anchorman Tom,"Okay obviously something different has uh shown up a-... Did he say ""furry""? [instantly another heavy footfall rattles the CNN newsroom and shorts out several monitors. Reporters and other worker scatter around] Okay uh we're we're experiencing some uh- [a second footfall shuts down the newsroom entirely and tilts the camera one way, but it's still airing. A third footfall tilts the camera in another direction and the roof is peeled back. A shaft of light strikes Tom's head as he looks up into the night] My God what is that thing?! [a fourth footfall tilts the camera down and in still another direction. Tom is lifted into the air...] AAAHHH!! [...and the camera finally stops transmitting, leaving behind an image of static, then nothing.]"
Pandemic,Scene Description,"The sky, night. A military airplane take to the air. Inside, the four boys sit on chairs in one side of the cabin. The pilot peeks in and then walks towards them."
Pandemic,Pilot,"All right, we're about 800 kilometers from Peru. There'll be a truck to take you inside the border where you're briefed on mission specifics. [walks backwards into the cockpit and closes the door. The boys say nothing for a while]"
Pandemic,Craig,"Was there ever a moment when you guys first came up with the genius plan to become a Peruvian flute band that any of you said ""Hey, you know? This plan might backfire."" [no answer] No, that never occurred to you. Because you guys are jerks, and you never learn from your mistakes, and that's why everyone at school thinks you guys are assholes."
Pandemic,Kyle,That's not true. Kids at school like us. Don't they?
Pandemic,Stan,"Yeah dude, kids at school totally like us. Craig is just being a dick because we're having a tough time right now."
Pandemic,Craig,[testing] I'm being a dick?
Pandemic,Stan,[firmly] Yes!
Pandemic,Craig,"You guys took my birthday money, got me arrested and sent to Miami with no way home except to take down the country of Peru, and I'm being a dick?"
Pandemic,Cartman,There's no talking to this guy.
Pandemic,Stan,"All right, fine, Craig. When we get back home we'll get you your money back, and we'll never talk to you again. How's that?"
Pandemic,Craig,That would be great. Thank you.
Pandemic,Kyle,This is wrong. Uh this just doesn't make any sense. Why would Homeland Security send us into Peru?
Pandemic,Kenny,(Because they're trying to take over the world?)
Pandemic,Kyle,"Ah, I don't know, it just feels like... there's got to be something else going on here."
Pandemic,Scene Description,"Stan's house, night. Sharon is talking to someone on the phone"
Pandemic,Sharon,"Please, I don't know where else to turn. The police haven't been any help, ugheh, I think our boys might really be in trouble this time. Yes. Yes. Please, check and call me right back. Thank you. [*click*She notices that Randy videotaped the call] Randy I swear to God if you don't put that thing away...!"
Pandemic,Randy,"Sharon, you're gonna be really glad I have all this footage of the family someday."
Pandemic,Sharon,"[the scene continues with Randy's POV] I mean it Randy that's enough!! You don't have to videotape every single-!! [a low moan is heard. She stops and looks around, getting more afraid with each moan]"
Pandemic,Randy,What the hell was that? [a heavy footfall shorts out the house]
Pandemic,Sharon,Oh my God.
