Britney's New Look,Photographer 3,Hey look!
Britney's New Look,Woman,"Oh my God, she's really gotten chubby. [the song begins: ""It's Britney, bitch!"" Britney is waiting for her cue as dancers swirl around her. She begins to warble, and it echoes. She walks and immediately a dancer keeps her from falling.]"
Britney's New Look,Singers,"The way she fee-els. [Britney leans over, and another dancer stands her up again. She warbles some more] Love inside."
Britney's New Look,Man,"Oh man, she's totally lip-syncing."
Britney's New Look,Stan,[annoyed] She doesn't have any lips!
Britney's New Look,Singers,Temporary. [Britney warbles some more. Two male dancers come by and turn her around so the camera can focus on her ass] So hot! [a few moments she gets a solo segment and four male dancers fawn over her]
Britney's New Look,Scene Description,Post-Awards report
Britney's New Look,Reporter,"Disaster at the MTV awards. People are ridiculing Britney Spears. Her performance was awful, Tom. She looked tired, she looked fat, she didn't have a head. It was just completely phoned in. No doubt, Tom, that girl has major issues."
Britney's New Look,Scene Description,"A green room. Britney, her manager, and the boys are watching the news report"
Britney's New Look,Manager,"Don't listen to 'em, Brit! They're all just jealous. And we can put you on SlimFast tomorrow. [walks over to the door and opens it. The paparazzi is there, piled on from floor to ceiling] Hang on, hang on, she'll be out in a minute. [leaves, closing the door. No paparazzi get in. Once the place is silent, she sits back on her armchair and relaxes with a sigh. Stan and Kyle can only look on]"
Britney's New Look,Stan,"We have to get her away from all this, dude. People just aren't gonna let up. We have to take her somewhere to just be at peace."
Britney's New Look,Kyle,"Dude, where in the world can Britney Spears go where nobody will bother her?"
Britney's New Look,Stan,[strokes his chin and takes a few steps forward] I know where.
Britney's New Look,Scene Description,"TransTrak station: ""Travel by Train."" It's 2:24 in the afternoon when Stan pops up at the window"
Britney's New Look,Stan,We want three tickets to the North Pole. [the clerk stops what he's doing and looks around]
Britney's New Look,Clerk,The North Pole? [leaves his chair and walks to the window] Who the hell goes to the North Pole?
Britney's New Look,Stan,"We do. Me, my friend, and his aunt. [Kyle and Britney stand behind him. Britney is wearing a wig, sunglasses, and hat as a disguise]"
Britney's New Look,Scene Description,Britney Watch returns...
Britney's New Look,Announcer,[breathless] It's Britney Wowtch!
Britney's New Look,Ron,A distraught Britney Spears has apparently disappeared and abandoned all those close to her. A local housewife caught a photo of Britney running away in this disguise! [a shot of Stan and Kyle leading Britney down the street]
Britney's New Look,Robert Pooner,"Britney is obviously very upset about her MTV performance, Ron, and so she's become desperate. Most troubling for her is the fact that her disguise has total camel toe. [the camera zooms in on her crotch to show what looks like a camel's toe under her shorts]"
Britney's New Look,Ron,"Oooooh, ouch!"
Britney's New Look,Anchorwoman,"Oh boy, now, Leslie, this seems like a really bad camel toe offense."
Britney's New Look,Leslie,"Absolutely major camel toe, Tracy. Britney just seems oblivious. She was bound to get noticed: you walk around with that kind of cam toe and you're gonna turn heads."
Britney's New Look,Ron,"[grunts a little] Eh, David, any idea as to how big the camel toe actually was? [a shot of Britney and a camel toe together]"
Britney's New Look,Robert Pooner,"She was sportin' toe like never before, Brian. I, I don't know what's wrong with that girl, but, it's a slap in the face to camels all over the planet."
Britney's New Look,Ron,Those close to Britney say they are very worried and want to bring her home safe. And now back to the local news.
Britney's New Look,Tracy,[a picture of Butters being dragged towards an animal control truck] The giant squirrel which was picked up last week by animal control apparently now thinks it's a person. Colorado officials have taken the squirrel to Johns-Hopkins for psychiatric evaluation.
Britney's New Look,Ron,"Hm, that squirrel is obviously nuts."
Britney's New Look,Scene Description,The platform at TransTrak.
Britney's New Look,Kyle,"Platform 4F. Uhhh, it must be on the other side of the station."
Britney's New Look,Paparazzo,[behind the boys] There she is! It's Britney! [more photographers show up and begin to take pictures]
Britney's New Look,Stan,"Oh no. [he and Kyle quickly whisk Britney away, the photographers hot on their tails. They pass a room whose door is slightly open. Seconds later they return to it, go in, and shut the door]"
Britney's New Look,Stan,"Dude, they're never gonna let us through."
Britney's New Look,Kyle,Yes they are! I have an idea.
Britney's New Look,Paparazzo 2,Britney? Where'd she go?
Britney's New Look,Paparazzo 3,"There she is! [Kyle appears wearing Britney's disguise. He turns to look at the paparazzi, then runs away. The paparazzi start taking pictures and following him. He runs down the street, the paparazzi pursue him]"
Britney's New Look,Scene Description,Inside the train. Stan leads Britney to a couple of seats by a window. Britney is wearing Kyle's hat
Britney's New Look,Stan,"It's okay, you'll be in the North Pole soon. [Britney gargles something]"
