Britney's New Look,Photographer 3,Hey look!
"Eek, A Penis!",Woman 3,[quickly jumps onto her table and lifts up her skirt] A penis? Where?
"Eek, A Penis!",Woman 4,"There it is! [quickly jumps onto the table at her booth and lifts up her skirt] Eek! [the other women at the restaurant do the same thing, and soon all you hear are ""Eek, a penis!""]"
"Eek, A Penis!",Mrs. Garrison,[enters the restaurant followed by the three officers] Where is it?!
"Eek, A Penis!",Mitch Harris,"Look, there! [points to the mouse as it heads to the kitchen. A waiter doesn't notice the mouse passing by him]"
"Eek, A Penis!",Mrs. Garrison,Come on! [he and the officers run to the kitchen]
"Eek, A Penis!",Chef,What'sa that peenis doing ina myii kitchen? [wields a rolling pin]
"Eek, A Penis!",Mrs. Garrison,[entering with the cops] Huy! Don't you dare kill my penis! [the mouse leaves through an open window] Crap! We've gotta go back around!
"Eek, A Penis!",Scene Description,Outside. The penis-mouse climbs along items behind the restaurant and runs along the top of a wooden fence. The camera follows it past the moon in the distance. The mouse stops and looks at the moon
"Eek, A Penis!",Mouse,Someone somewhere is loving me tonightLooking at the same moon and seeing it so bright.
"Eek, A Penis!",Penis,Someone somewhere is feelin' my despair
"Eek, A Penis!",Mouse,Feelin' my despair
"Eek, A Penis!",Penis,And this same moon is
"Eek, A Penis!","Penis, Mouse",[together] making them think of that-.
"Eek, A Penis!",Mrs. Garrison,"There it is! [the mouse runs away. Garrison gives chase again, with the cops and the chef joining him. The mouse runs to the sewer and drops in] No! Nooo! [dives after it, but can't reach far enough in to get it] No! No!"
"Eek, A Penis!",Mitch Harris,There's not a chance now.
"Eek, A Penis!",Mrs. Garrison,"No we, we can find it! [looks intensely down through the grate]"
"Eek, A Penis!",Sgt. Yates,"Sorry Garrison, your penis is gone. Afraid there's nothing more we can do. You'll just have to live with being a woman. A very ugly one. Come on, men. [they leave. Garrison stands up, beat]"
"Eek, A Penis!",Scene Description,Cartmanez's classroom. Mrs. Miller and Cartman stand before the class.
"Eek, A Penis!",Mrs. Miller,"Students, I want to congratulate you on your amazing test scores. The school board is so impressed with your progress that they are going to let you take the standardized advanced placement test for college credit. [a quick cheer goes up] The test is going to be heavily monitored in a private room at their location to assure that there can be absolutely no cheating."
"Eek, A Penis!",Cartman,Uh what?
"Eek, A Penis!",Mrs. Miller,The test will be tomorrow. Make us proud. [turns right and leaves the classroom]
"Eek, A Penis!",Teen boy 8,Monitor us in a private room?
"Eek, A Penis!",Teen boy 3,Now they're gonna know we've been cheating all along.
"Eek, A Penis!",Teen boy 2,I knew it man! You made us believe in your way and now it's all for nawthing!
"Eek, A Penis!",Cartman,"Ih it's not for nothing. Ih, if you're good enough, you can cheat right in front of them."
"Eek, A Penis!",Teen boy 8,"[stands up] Shut up, man! You reyally screwed us all!"
"Eek, A Penis!",Cartman,"How do I reeeach these keeeeds?! [the boy, cowed, slips back into his seat. Cartman faces the board] Just before the last Super Bowl, Bill Beelichick gathered his football players and said, ""Let's win this one for real. Just this one time. Let's not cheat."" You know what happened? [dryly] They lost. [faces the class] Even if you feel all eyes are upon you, you cannot give up on chea-ting! Or else you can lose the biggest game of your lives."
"Eek, A Penis!",Teen Girl 1,"Yeah, come on, we can do this, guys."
"Eek, A Penis!",Cartman,You are the true dreamers. Tomorrow you will prove it. We will begin by reviewing how to print out cheat sheets as labels for your bottled water.
"Eek, A Penis!",Scene Description,"A bus stop across the street from Buca de Faggoncini, night. Mrs. Garrison is on her back on the bench, crying"
"Eek, A Penis!",Mrs. Garrison,"You did this to yourself, Garrison. Get your hopes up with a stupid genetic experiment and now all your money's gone along with your penis. [a squeaky thing is heard. Garrison notices and stops crying] Well what the? [raises her head and looks down, then looks towards her feet. The mouse that has been fleeing all night is now struggling to get on the bench] Why... it's my penis. [the mouse is now wholly on the bench] My penis came back. But why? [the mouse moves closer. Mrs. Garrison lowers her left hand to the bench. The mouse walks onto her hand, and she lifts it up] I guess it's true. What's that old saying? ""If you love your penis, let it go..."""
"Eek, A Penis!",Scene Description,Jim Davis High School Auditorium. Mrs. Miller addresses the audience while Mr. Cartmanez' class stands behind and to the left of her
"Eek, A Penis!",Mrs. Miller,The standardized advanced placement test is considered one of the most difficult and carefully monitored tests in the country. Twenty-four of our students took the test and all twenty-four scored 100% [their parents applaud. Melita and a short boy look at each other]
"Eek, A Penis!",Teen boy 6,"Uh, can we say something?"
"Eek, A Penis!",Mrs. Miller,"Sure. [leaves the podium. The short boy reaches for a plaque and hands it to the taller boy, who now takes the mic]"
"Eek, A Penis!",Teen boy 6,"We would like to present this plaque to the person who taught us the White People Method. Mr. Cartmanez! [Cartman, standing far from the podium and off to one side, walks up to the podium and reaches the mic. The students gather 'round him and clap as adults take pictures.]"
"Eek, A Penis!",Cartman,[basking in the success] I reeached these keeeds.
